Format Version,1.23,Take Name,Take 2025-12-17 06.35.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.35.01.503 PM,Capture Start Frame,10755390,Total Frames in Take,16256,Total Exported Frames,16256,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,ID,"1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
318,2.650000,1.891466,0.155724,-0.957856
319,2.658000,1.890998,0.155686,-0.957155
320,2.667000,1.890334,0.155656,-0.956828
321,2.675000,1.889624,0.155767,-0.956846
322,2.683000,1.889049,0.155837,-0.957233
323,2.692000,1.888463,0.155832,-0.957813
324,2.700000,1.888168,0.155855,-0.958437
325,2.708000,1.888282,0.155964,-0.959084
326,2.717000,1.888765,0.156030,-0.959784
327,2.725000,1.889370,0.155887,-0.960301
328,2.733000,1.890046,0.155771,-0.960506
329,2.742000,1.890761,0.155798,-0.960279
330,2.750000,1.891339,0.155814,-0.959752
331,2.758000,1.891654,0.155817,-0.959125
332,2.767000,1.891652,0.155682,-0.958443
333,2.775000,1.891444,0.155694,-0.957892
334,2.783000,1.890995,0.155655,-0.957168
335,2.792000,1.890334,0.155630,-0.956829
336,2.800000,1.889613,0.155751,-0.956879
337,2.808000,1.889051,0.155836,-0.957244
338,2.817000,1.888478,0.155798,-0.957831
339,2.825000,1.888150,0.155819,-0.958450
340,2.833000,1.888244,0.155895,-0.959050
341,2.842000,1.888706,0.155960,-0.959796
342,2.850000,1.889312,0.155844,-0.960347
343,2.858000,1.890027,0.155722,-0.960510
344,2.867000,1.890735,0.155749,-0.960288
345,2.875000,1.891319,0.155773,-0.959736
346,2.883000,1.891630,0.155764,-0.959129
347,2.892000,1.891672,0.155711,-0.958416
348,2.900000,1.891454,0.155704,-0.957881
349,2.908000,1.891014,0.155695,-0.957182
350,2.917000,1.890349,0.155640,-0.956817
351,2.925000,1.889668,0.155789,-0.956858
352,2.933000,1.889059,0.155837,-0.957193
353,2.942000,1.888487,0.155876,-0.957775
354,2.950000,1.888175,0.155864,-0.958416
355,2.958000,1.888259,0.155960,-0.959016
356,2.967000,1.888718,0.156038,-0.959773
357,2.975000,1.889322,0.155930,-0.960320
358,2.983000,1.890026,0.155803,-0.960493
359,2.992000,1.890737,0.155811,-0.960288
360,3.000000,1.891309,0.155832,-0.959757
361,3.008000,1.891642,0.155821,-0.959119
362,3.017000,1.891665,0.155753,-0.958459
363,3.025000,1.891474,0.155752,-0.957905
364,3.033000,1.891026,0.155701,-0.957191
365,3.042000,1.890396,0.155671,-0.956819
366,3.050000,1.889655,0.155771,-0.956848
367,3.058000,1.889080,0.155870,-0.957204
368,3.067000,1.888505,0.155890,-0.957783
369,3.075000,1.888178,0.155904,-0.958394
370,3.083000,1.888242,0.155980,-0.959019
371,3.092000,1.888682,0.156076,-0.959782
372,3.100000,1.889294,0.155919,-0.960305
373,3.108000,1.889984,0.155790,-0.960507
374,3.117000,1.890688,0.155790,-0.960326
375,3.125000,1.891306,0.155843,-0.959788
376,3.133000,1.891626,0.155831,-0.959185
377,3.142000,1.891661,0.155766,-0.958512
378,3.150000,1.891469,0.155738,-0.957926
379,3.158000,1.891032,0.155711,-0.957192
380,3.167000,1.890403,0.155649,-0.956829
381,3.175000,1.889692,0.155785,-0.956855
382,3.183000,1.889068,0.155855,-0.957195
383,3.192000,1.888509,0.155852,-0.957748
384,3.200000,1.888166,0.155865,-0.958409
385,3.208000,1.888212,0.155963,-0.959016
386,3.217000,1.888678,0.156055,-0.959744
387,3.225000,1.889272,0.155906,-0.960284
388,3.233000,1.889956,0.155775,-0.960507
389,3.242000,1.890666,0.155765,-0.960341
390,3.250000,1.891279,0.155823,-0.959819
391,3.258000,1.891631,0.155803,-0.959190
392,3.267000,1.891660,0.155745,-0.958500
393,3.275000,1.891464,0.155733,-0.957950
394,3.283000,1.891042,0.155705,-0.957213
395,3.292000,1.890404,0.155654,-0.956851
396,3.300000,1.889713,0.155784,-0.956847
397,3.308000,1.889100,0.155877,-0.957196
398,3.317000,1.888503,0.155879,-0.957766
399,3.325000,1.888169,0.155872,-0.958417
400,3.333000,1.888212,0.155962,-0.958991
401,3.342000,1.888648,0.156060,-0.959743
402,3.350000,1.889273,0.155932,-0.960308
403,3.358000,1.889946,0.155817,-0.960513
404,3.367000,1.890674,0.155802,-0.960338
405,3.375000,1.891280,0.155844,-0.959793
406,3.383000,1.891616,0.155822,-0.959189
407,3.392000,1.891640,0.155742,-0.958549
408,3.400000,1.891466,0.155722,-0.957958
409,3.408000,1.891048,0.155719,-0.957252
410,3.417000,1.890401,0.155639,-0.956869
411,3.425000,1.889709,0.155754,-0.956847
412,3.433000,1.889084,0.155838,-0.957196
413,3.442000,1.888516,0.155847,-0.957750
414,3.450000,1.888166,0.155876,-0.958397
415,3.458000,1.888209,0.155957,-0.959007
416,3.467000,1.888669,0.156057,-0.959737
417,3.475000,1.889257,0.155916,-0.960284
418,3.483000,1.889949,0.155806,-0.960520
419,3.492000,1.890668,0.155791,-0.960333
420,3.500000,1.891262,0.155836,-0.959820
421,3.508000,1.891615,0.155821,-0.959199
422,3.517000,1.891670,0.155765,-0.958534
423,3.525000,1.891477,0.155739,-0.957953
424,3.533000,1.891070,0.155727,-0.957248
425,3.542000,1.890429,0.155664,-0.956857
426,3.550000,1.889721,0.155764,-0.956825
427,3.558000,1.889117,0.155842,-0.957174
428,3.567000,1.888535,0.155858,-0.957733
429,3.575000,1.888185,0.155864,-0.958364
430,3.583000,1.888223,0.155964,-0.958986
431,3.592000,1.888664,0.156053,-0.959739
432,3.600000,1.889251,0.155923,-0.960294
433,3.608000,1.889929,0.155784,-0.960508
434,3.617000,1.890645,0.155757,-0.960346
435,3.625000,1.891261,0.155829,-0.959839
436,3.633000,1.891637,0.155830,-0.959224
437,3.642000,1.891697,0.155739,-0.958546
438,3.650000,1.891504,0.155724,-0.957964
439,3.658000,1.891088,0.155712,-0.957255
440,3.667000,1.890448,0.155619,-0.956867
441,3.675000,1.889724,0.155752,-0.956841
442,3.683000,1.889130,0.155829,-0.957174
443,3.692000,1.888557,0.155837,-0.957729
444,3.700000,1.888190,0.155858,-0.958382
445,3.708000,1.888222,0.155942,-0.958956
446,3.717000,1.888668,0.156044,-0.959706
447,3.725000,1.889255,0.155921,-0.960278
448,3.733000,1.889934,0.155795,-0.960513
449,3.742000,1.890652,0.155782,-0.960351
450,3.750000,1.891268,0.155837,-0.959834
451,3.758000,1.891624,0.155834,-0.959223
452,3.767000,1.891682,0.155748,-0.958561
453,3.775000,1.891502,0.155730,-0.957977
454,3.783000,1.891081,0.155720,-0.957264
455,3.792000,1.890455,0.155644,-0.956863
456,3.800000,1.889758,0.155790,-0.956819
457,3.808000,1.889148,0.155829,-0.957170
458,3.817000,1.888564,0.155853,-0.957729
459,3.825000,1.888199,0.155890,-0.958357
460,3.833000,1.888207,0.155936,-0.958934
461,3.842000,1.888634,0.156062,-0.959714
462,3.850000,1.889253,0.155947,-0.960248
463,3.858000,1.889912,0.155791,-0.960504
464,3.867000,1.890639,0.155784,-0.960353
465,3.875000,1.891254,0.155830,-0.959854
466,3.883000,1.891594,0.155810,-0.959246
467,3.892000,1.891680,0.155731,-0.958560
468,3.900000,1.891502,0.155715,-0.957956
469,3.908000,1.891096,0.155711,-0.957238
470,3.917000,1.890470,0.155642,-0.956862
471,3.925000,1.889748,0.155766,-0.956830
472,3.933000,1.889147,0.155831,-0.957124
473,3.942000,1.888559,0.155858,-0.957701
474,3.950000,1.888210,0.155873,-0.958335
475,3.958000,1.888216,0.155938,-0.958931
476,3.967000,1.888631,0.156077,-0.959729
477,3.975000,1.889230,0.155949,-0.960257
478,3.983000,1.889895,0.155807,-0.960509
479,3.992000,1.890609,0.155789,-0.960366
480,4.000000,1.891234,0.155843,-0.959858
481,4.008000,1.891605,0.155854,-0.959272
482,4.017000,1.891662,0.155745,-0.958595
483,4.025000,1.891497,0.155721,-0.957976
484,4.033000,1.891111,0.155717,-0.957277
485,4.042000,1.890494,0.155643,-0.956873
486,4.050000,1.889771,0.155752,-0.956817
487,4.058000,1.889147,0.155819,-0.957147
488,4.067000,1.888579,0.155844,-0.957694
489,4.075000,1.888186,0.155858,-0.958299
490,4.083000,1.888183,0.155920,-0.958915
491,4.092000,1.888610,0.156054,-0.959672
492,4.100000,1.889193,0.155965,-0.960242
493,4.108000,1.889867,0.155797,-0.960497
494,4.117000,1.890579,0.155755,-0.960384
495,4.125000,1.891215,0.155832,-0.959895
496,4.133000,1.891598,0.155813,-0.959278
497,4.142000,1.891688,0.155762,-0.958599
498,4.150000,1.891507,0.155741,-0.958021
499,4.158000,1.891113,0.155723,-0.957339
500,4.167000,1.890500,0.155652,-0.956885
501,4.175000,1.889791,0.155775,-0.956809
502,4.183000,1.889179,0.155836,-0.957122
503,4.192000,1.888574,0.155888,-0.957681
504,4.200000,1.888206,0.155886,-0.958283
505,4.208000,1.888181,0.155944,-0.958873
506,4.217000,1.888572,0.156041,-0.959686
507,4.225000,1.889193,0.155964,-0.960208
508,4.233000,1.889848,0.155796,-0.960495
509,4.242000,1.890550,0.155773,-0.960403
510,4.250000,1.891204,0.155848,-0.959906
511,4.258000,1.891577,0.155798,-0.959321
512,4.267000,1.891660,0.155746,-0.958637
513,4.275000,1.891519,0.155718,-0.958034
514,4.283000,1.891155,0.155731,-0.957340
515,4.292000,1.890536,0.155633,-0.956885
516,4.300000,1.889813,0.155775,-0.956836
517,4.308000,1.889191,0.155826,-0.957099
518,4.317000,1.888607,0.155879,-0.957637
519,4.325000,1.888210,0.155848,-0.958279
520,4.333000,1.888172,0.155944,-0.958887
521,4.342000,1.888564,0.156061,-0.959629
522,4.350000,1.889174,0.155954,-0.960187
523,4.358000,1.889831,0.155821,-0.960501
524,4.367000,1.890535,0.155776,-0.960389
525,4.375000,1.891168,0.155819,-0.959941
526,4.383000,1.891586,0.155830,-0.959349
527,4.392000,1.891678,0.155763,-0.958663
528,4.400000,1.891513,0.155728,-0.958091
529,4.408000,1.891175,0.155759,-0.957390
530,4.417000,1.890574,0.155648,-0.956912
531,4.425000,1.889850,0.155753,-0.956826
532,4.433000,1.889221,0.155838,-0.957075
533,4.442000,1.888634,0.155857,-0.957613
534,4.450000,1.888214,0.155867,-0.958282
535,4.458000,1.888183,0.155939,-0.958836
536,4.467000,1.888547,0.156045,-0.959619
537,4.475000,1.889154,0.155962,-0.960183
538,4.483000,1.889796,0.155829,-0.960501
539,4.492000,1.890519,0.155799,-0.960407
540,4.500000,1.891161,0.155828,-0.959942
