Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
276,2.300000,2.055009,0.194697,-0.985597,,,
277,2.308000,2.054991,0.194709,-0.985573,,,
278,2.317000,2.055011,0.194711,-0.985555,,,
279,2.325000,2.054991,0.194698,-0.985593,,,
280,2.333000,2.054970,0.194700,-0.985570,,,
281,2.342000,2.055011,0.194712,-0.985598,,,
282,2.350000,2.054998,0.194685,-0.985582,,,
283,2.358000,2.055040,0.194695,-0.985588,,,
284,2.367000,2.055041,0.194665,-0.985625,,,
285,2.375000,2.055028,0.194668,-0.985566,,,
286,2.383000,2.055038,0.194661,-0.985590,,,
287,2.392000,2.055005,0.194667,-0.985569,,,
288,2.400000,2.055008,0.194670,-0.985538,,,
289,2.408000,2.055001,0.194658,-0.985588,,,
290,2.417000,2.054964,0.194669,-0.985559,,,
291,2.425000,2.055002,0.194673,-0.985558,,,
292,2.433000,2.054991,0.194679,-0.985596,,,
293,2.442000,2.054954,0.194687,-0.985556,,,
294,2.450000,2.054952,0.194668,-0.985590,,,
295,2.458000,2.054951,0.194671,-0.985552,,,
296,2.467000,2.054957,0.194664,-0.985597,,,
297,2.475000,2.054990,0.194687,-0.985602,,,
298,2.483000,2.055001,0.194650,-0.985566,,,
299,2.492000,2.055010,0.194665,-0.985600,,,
300,2.500000,2.055027,0.194666,-0.985563,,,
301,2.508000,2.055008,0.194664,-0.985593,,,
302,2.517000,2.054983,0.194652,-0.985560,,,
303,2.525000,2.055013,0.194665,-0.985543,,,
304,2.533000,2.054996,0.194664,-0.985589,,,
305,2.542000,2.054995,0.194682,-0.985530,,,
306,2.550000,2.055014,0.194674,-0.985565,,,
307,2.558000,2.054979,0.194654,-0.985582,,,
308,2.567000,2.054980,0.194677,-0.985566,,,
309,2.575000,2.054988,0.194666,-0.985580,,,
310,2.583000,2.054965,0.194695,-0.985542,,,
311,2.592000,2.054980,0.194676,-0.985591,,,
312,2.600000,2.054973,0.194670,-0.985587,,,
313,2.608000,2.054991,0.194665,-0.985561,,,
314,2.617000,2.055010,0.194668,-0.985611,,,
315,2.625000,2.054999,0.194683,-0.985534,,,
316,2.633000,2.055002,0.194658,-0.985577,,,
317,2.642000,2.054993,0.194670,-0.985582,,,
318,2.650000,2.054982,0.194661,-0.985549,,,
319,2.658000,2.054997,0.194667,-0.985560,,,
320,2.667000,2.054977,0.194663,-0.985552,,,
321,2.675000,2.054997,0.194667,-0.985544,,,
322,2.683000,2.054978,0.194661,-0.985562,,,
323,2.692000,2.054971,0.194678,-0.985574,,,
324,2.700000,2.054979,0.194676,-0.985585,,,
325,2.708000,2.054987,0.194685,-0.985580,,,
326,2.717000,2.054983,0.194682,-0.985600,,,
327,2.725000,2.054985,0.194674,-0.985595,,,
328,2.733000,2.055021,0.194655,-0.985579,,,
329,2.742000,2.055013,0.194661,-0.985603,,,
330,2.750000,2.055024,0.194660,-0.985572,,,
331,2.758000,2.055019,0.194652,-0.985603,,,
332,2.767000,2.054989,0.194644,-0.985588,,,
333,2.775000,2.055004,0.194648,-0.985562,,,
334,2.783000,2.055007,0.194638,-0.985592,,,
335,2.792000,2.054978,0.194642,-0.985572,,,
336,2.800000,2.054998,0.194656,-0.985572,,,
337,2.808000,2.054977,0.194644,-0.985585,,,
338,2.817000,2.054970,0.194658,-0.985557,,,
339,2.825000,2.054977,0.194642,-0.985586,,,
340,2.833000,2.054954,0.194672,-0.985566,,,
341,2.842000,2.054986,0.194688,-0.985602,,,
342,2.850000,2.054974,0.194667,-0.985629,,,
343,2.858000,2.054989,0.194655,-0.985575,,,
344,2.867000,2.054985,0.194663,-0.985606,,,
345,2.875000,2.055000,0.194665,-0.985564,,,
346,2.883000,2.055015,0.194653,-0.985581,,,
347,2.892000,2.054996,0.194671,-0.985592,,,
348,2.900000,2.054990,0.194674,-0.985577,,,
349,2.908000,2.055001,0.194653,-0.985586,,,
350,2.917000,2.054978,0.194658,-0.985556,,,
351,2.925000,2.054987,0.194627,-0.985554,,,
352,2.933000,2.054965,0.194655,-0.985596,,,
353,2.942000,2.054973,0.194670,-0.985558,,,
354,2.950000,2.054965,0.194674,-0.985594,,,
355,2.958000,2.054956,0.194662,-0.985581,,,
